#ID	Name	SMILES
Hlpr-581-1	Hlpr-581-1	CCCCCCCCCCCCCCCC(=O)O
Hlpr-584-0	Hlpr-584-0	O=[N+](O)c1ccc(OP(=O)(O)O)cc1
Hlpr-584-1	Hlpr-584-1	Cc1cn(C2CC(OP(=O)(O)O)C(CO)O2)c(=O)[nH]c1=O
Hlpr-585-1	Hlpr-585-1	CC(=O)O
Hlpr-586-0	Hlpr-586-0	CCCCC(=O)OCC(O)COP(=O)(O)O
Hlpr-586-1	Hlpr-586-1	C[N+](C)(C)CCO
Hlpr-588-0	Hlpr-588-0	O=P(O)(O)OC1OC(CO)C(O)C(O)C1O
Hlpr-589-1	Hlpr-589-1	OCC1(O)COC(OCC2OC(O)C(O)C(O)C2O)C1O
Hlpr-591-0	Hlpr-591-0	CCCC(=O)SCC(CO)SC(=O)CCC
Hlpr-592-0	Hlpr-592-0	O=C(O)C1CCCC1
Hlpr-593-1	Hlpr-593-1	CCCCCCCCCC(=O)O
Hlpr-595-1	Hlpr-595-1	CCOP(O)(=S)OCC
Hlpr-596-0	Hlpr-596-0	COC(=O)c1ccc(O)cc1
Hlpr-597-0	Hlpr-597-0	O=C(O)CC(=O)O
Hlpr-600-0	Hlpr-600-0	CCCCO
Hlpr-601-1	Hlpr-601-1	OCCc1ccccc1
Hlpr-603-0	Hlpr-603-0	C[N+](C)(C)CCOP(=O)(O)OCC(O)CO
Hlpr-603-1	Hlpr-603-1	CCCCCCCCC=CCCCCCCCC(=O)OC(CO)CO
Hlpr-606-1	Hlpr-606-1	O=C(CNC(=O)OCc1ccccc1)NCC(=O)N1CCCC1C(=O)O
Hlpr-609-1	Hlpr-609-1	O=C(O)C1=CC(O)C(O)C(O)O1
Hlpr-611-1	Hlpr-611-1	CCCOP(C)(=O)O
Hlpr-612-1	Hlpr-612-1	CC(=O)CC(=O)O
Hlpr-614-0	Hlpr-614-0	OCC1OC(OCC2OC(O)C(O)C2O)C(O)C1O
Hlpr-621-0	Hlpr-621-0	CCCCC(=O)OCC(O)CO
Hlpr-622-0	Hlpr-622-0	CC(C)(C)C(=O)O
Hlpr-624-0	Hlpr-624-0	CCCCCCC(=O)O
Hlpr-624-1	Hlpr-624-1	CCCCCCC(=O)OCC(O)COP(=O)(O)OCC[N+](C)(C)C
Hlpr-629-1	Hlpr-629-1	Oc1ccccc1O
Hlpr-630-0	Hlpr-630-0	O=C(O)CCCCC(=O)O
Hlpr-630-1	Hlpr-630-1	CC1=C(C(=O)O)N2C(=O)C(N)C2SC1
Hlpr-631-1	Hlpr-631-1	CCO
Hlpr-636-1	Hlpr-636-1	CC(O)CC(=O)O
Hlpr-642-0	Hlpr-642-0	Oc1ccc(O)cc1
Hlpr-643-0	Hlpr-643-0	O=C(CO)NC1C(O)CC(O)(C(=O)O)OC1C(O)C(O)CO
Hlpr-645-0	Hlpr-645-0	NC(Cc1ccccc1)C(=O)O
Hlpr-654-0	Hlpr-654-0	NC(CO)C(=O)O
Hlpr-655-0	Hlpr-655-0	OC1C(O)C(O)C(O)C(O)C1O
Hlpr-659-0	Hlpr-659-0	C#CCO
Hlpr-660-1	Hlpr-660-1	O=C(O)C(O)Cc1ccccc1
Hlpr-661-0	Hlpr-661-0	O=c1ccn(C2OC(CO)C(O)C2O)c(=O)[nH]1
Hlpr-663-1	Hlpr-663-1	Nc1ccc(C(=O)O)cc1
Hlpr-665-0	Hlpr-665-0	Nc1ccn(C2OC(CO)C(OP(=O)(O)O)C2O)c(=O)n1
Hlpr-665-1	Hlpr-665-1	Nc1nc2c(ncn2C2CC(O)C(CO)O2)c(=O)[nH]1
Hlpr-668-0	Hlpr-668-0	CC(C)CO
Hlpr-668-1	Hlpr-668-1	CP(=O)(O)O
Hlpr-669-0	Hlpr-669-0	O=C(O)c1ccc(C(=O)O)cc1
Hlpr-669-1	Hlpr-669-1	OCCO
